Character,EntityNumber,Description
∼,&sim;,Similar to
≅,&cong;,Congurent to
≈,&asymp;,Almost equal
≠,&ne;,Not equal
≡,&equiv;,Equivalent
≤,&le;,Less or equal
≥,&ge;,Greater or equal
⊂,&sub;,Subset of
⊃,&sup;,Superset of
⊄,&nsub;,Not subset of
⊆,&sube;,Subset or equal
⊇,&supe;,Superset or equal
⊕,&oplus;,Circled plus
⊗,&otimes;,Circled times
⊥,&perp;,Perpendicular
⋅,&sdot;,Dot operator
&Alpha;,&#913;,
Β,&Beta;,Beta
Γ,&Gamma;,Gamma
Δ,&Delta;,Delta
Ε,&Epsilon;,Epsilon
Ζ,&Zeta;,Zeta
Η,&Eta;,Eta
Θ,&Theta;,Theta
Ι,&Iota;,Iota
Κ,&Kappa;,Kappa
Λ,&Lambda;,Lambda
Μ,&Mu;,Mu
Ν,&Nu;,Nu
Ξ,&Xi;,Xi
Ο,&Omicron;,Omicron
Π,&Pi;,Pi
Ρ,&Rho;,Rho
Σ,&Sigma;,Sigma
Τ,&Tau;,Tau
Υ,&Upsilon;,Upsilon
Φ,&Phi;,Phi
Χ,&Chi;,Chi
Ψ,&Psi;,Psi
Ω,&Omega;,Omega
α,&alpha;,alpha
β,&beta;,beta
γ,&gamma;,gamma
δ,&delta;,delta
ε,&epsilon;,epsilon
ζ,&zeta;,zeta
η,&eta;,eta
θ,&theta;,theta
ι,&iota;,iota
κ,&kappa;,kappa
λ,&lambda;,lambda
μ,&mu;,mu
ν,&nu;,nu
ξ,&xi;,xi
ο,&omicron;,omicron
π,&pi;,pi
ρ,&rho;,rho
ς,&sigmaf;,sigmaf
σ,&sigma;,sigma
τ,&tau;,tau
υ,&upsilon;,upsilon
φ,&phi;,phi
χ,&chi;,chi
ψ,&psi;,psi
ω,&omega;,omega
ϑ,&thetasym;,Theta symbol
ϒ,&upsih;,Upsilon symbol
ϖ,&piv;,Pi symbol
Œ,&OElig;,Uppercase ligature OE
œ,&oelig;,Lowercase ligature OE
Š,&Scaron;,Uppercase S with caron
š,&scaron;,Lowercase S with caron
Ÿ,&Yuml;,Capital Y with diaeres
ƒ,&fnof;,Lowercase with hook
ˆ,&circ;,Circumflex accent
˜,&tilde;,Tilde
 ,&ensp;,En space
 ,&emsp;,Em space
 ,&thinsp;,Thin space
‌,&zwnj;,Zero width non-joiner
‍,&zwj;,Zero width joiner
‎,&lrm;,Left-to-right mark
‏,&rlm;,Right-to-left mark
–,&ndash;,En dash
—,&mdash;,Em dash
‘,&lsquo;,Left single quotation mark
’,&rsquo;,Right single quotation mark
‚,&sbquo;,Single low-9 quotation mark
“,&ldquo;,Left double quotation mark
”,&rdquo;,Right double quotation mark
„,&bdquo;,Double low-9 quotation mark
†,&dagger;,Dagger
‡,&Dagger;,Double dagger
•,&bull;,Bullet
…,&hellip;,Horizontal ellipsis
‰,&permil;,Per mille
′,&prime;,Minutes (Degrees)
″,&Prime;,Seconds (Degrees)
‹,&lsaquo;,Single left angle quotation
›,&rsaquo;,Single right angle quotation
‾,&oline;,Overline
€,&euro;,Euro
™,&trade;,Trademark
←,&larr;,Left arrow
↑,&uarr;,Up arrow
→,&rarr;,Right arrow
↓,&darr;,Down arrow
↔,&harr;,Left right arrow
↵,&crarr;,Carriage return arrow
⌈,&lceil;,Left ceiling
⌉,&rceil;,Right ceiling
⌊,&lfloor;,Left floor
⌋,&rfloor;,Right floor
◊,&loz;,Lozenge
♠,&spades;,Spade
♣,&clubs;,Club
♥,&hearts;,Heart
♦,&diams;,Diamond
